time_s,altitude_km,range_km,crossrange_km,heatRate_W_m2,altitude_km
677.3533255,45.93952408,187.4238887,29.74837731,3991607.29,45.93952408
677.9436777,46.12707629,189.2626743,30.06530256,3930856.03,46.12707629
679.1122589,46.48586566,192.9002865,30.68566239,3841247.7,46.48586566
680.4079744,46.86227153,196.9322261,31.36498878,3740847.548,46.86227153
681.3361614,47.12039592,199.8180118,31.84506179,3679122.754,47.12039592
681.5773722,47.18519061,200.5682484,31.9701655,3662862.848,47.18519061
682.4743085,47.42409059,203.3545829,32.43011099,3594536.042,47.42409059
684.0718117,47.82686607,208.3132863,33.23818343,3501853.451,47.82686607
685.4272192,48.14161731,212.5195284,33.91755879,3425325.286,48.14161731
685.8014189,48.22569766,213.6797,34.10318259,3407241.907,48.22569766
686.3917711,48.35474294,215.5102374,34.39671543,3376099.649,48.35474294
687.5603524,48.59844372,219.1325112,34.97590295,3321971.475,48.59844372
688.8560678,48.84729925,223.1476912,35.61504597,3266068.415,48.84729925
689.7842548,49.01489094,226.0224198,36.0702276,3227219.671,49.01489094
690.0254656,49.05710752,226.7692395,36.18806097,3215494.25,49.05710752
690.4416824,49.13065561,228.0572102,36.39059024,3198086.573,49.13065561
691.3118387,49.28139764,230.7490762,36.81379079,3166114.58,49.28139764
692.3994863,49.45886684,234.1129976,37.34295564,3128836.54,49.45886684
693.4130944,49.61270371,237.2472885,37.83678731,3097530.326,49.61270371
694.0813536,49.70988944,239.3132339,38.16268777,3075933.316,49.70988944
694.2495123,49.73407921,239.8329295,38.24460396,3069497.524,49.73407921
695.200135,49.86856615,242.7695466,38.70636705,3039622.042,49.86856615
697.2948927,50.12885321,249.2381051,39.72138139,2986604.01,50.12885321
700.2075254,50.405722,258.2254641,41.11874397,2926465.988,50.405722
703.4943222,50.60501066,268.3580113,42.67525746,2883403.936,50.60501066
706.6548646,50.68107195,278.0918281,44.15137536,2860306.171,50.68107195
709.2080604,50.66331594,285.9496707,45.33470363,2861835.113,50.66331594
710.7658832,50.61763919,290.7406415,46.05324193,2852104.193,50.61763919
711.1456991,50.60547731,291.9061987,46.22483045,2840478.299,50.60547731
712.6454513,50.54974558,296.502478,46.89428889,2843854.659,50.54974558
714.7148031,50.44321839,302.8412027,47.8177993,2860932.732,50.44321839
715.3697459,50.40007875,304.8474773,48.11128034,2866269.46,50.40007875
716.869498,50.2985184,309.4390224,48.78246929,2878880.985,50.2985184
718.9388498,50.13275096,315.7686873,49.70334064,2897748.545,50.13275096
719.5937926,50.07288268,317.7701644,49.99176032,2896757.687,50.07288268
721.0935447,49.93652412,322.3483429,50.64498013,2917751.066,49.93652412
723.1628965,49.72523425,328.6533354,51.53400308,2923543.032,49.72523425
723.8178393,49.6516518,330.6425426,51.80685439,2903273.281,49.6516518
725.3175914,49.48470032,335.1843397,52.41447476,2929745.63,49.48470032
727.3869432,49.23430064,341.4389032,53.24074436,2941491.017,49.23430064
728.041886,49.14927785,343.4119434,53.4935133,2921904.584,49.14927785
728.6545048,49.07286777,345.2512556,53.72126951,2928030.281,49.07286777
730.0369705,48.9032134,349.3890703,54.21630468,2909927.776,48.9032134
732.0492726,48.65336073,355.3719464,54.88131569,2908926.813,48.65336073
734.4942485,48.3120223,362.6323911,55.68564405,2981998.431,48.3120223
737.1325346,47.88573278,370.4668383,56.56371507,3046193.244,47.88573278
739.7058715,47.41202556,378.1057446,57.42794659,3149151.199,47.41202556
741.9623729,46.9614247,384.7952788,58.18092479,3169643.501,46.9614247
743.6812096,46.62290277,389.8336659,58.67611864,3127473.377,46.62290277
744.694558,46.43000513,392.78107,58.93603508,3130007.765,46.43000513
744.9380728,46.38447955,393.4877943,58.9966342,3135826.958,46.38447955
746.4378249,46.10932199,397.8283842,59.35600131,3128168.123,46.10932199
748.5071767,45.74441094,403.7517805,59.76620056,3061684.012,45.74441094
749.1621195,45.63255737,405.6041052,59.86550996,3050058.3,45.63255737
750.6618716,45.38664076,409.8334711,60.07824454,3059354.349,45.38664076
752.7312234,45.0527274,415.6537445,60.35146128,3114671.775,45.0527274
753.3861662,44.94358897,417.4970562,60.4396339,3132086.222,44.94358897
754.8859183,44.69171477,421.7142078,60.6388601,3169470.827,44.69171477
756.9552701,44.35507552,427.5063087,60.87728105,3158511.64,44.35507552
757.6102129,44.25448538,429.3259913,60.93401199,3126416.783,44.25448538
759.109965,44.03485178,433.4524032,61.01532556,3074105.239,44.03485178
761.1793169,43.75468045,439.0694352,61.0328056,3005745.58,43.75468045
761.8342596,43.67019777,440.8292917,61.01610269,3006815.718,43.67019777
762.5884033,43.57937116,442.8538748,60.9945753,2995187.723,43.57937116
764.2734989,43.3887383,447.3516892,60.91606936,2981361.92,43.3887383
766.6805043,43.12629389,453.7586057,60.7864075,3012856.183,43.12629389
769.5188704,42.85202141,461.2861788,60.73877055,2944519.549,42.85202141
772.4462111,42.61191021,468.973322,60.87310354,2890280.196,42.61191021
775.1094504,42.40608443,475.9467356,61.0740991,2913904.552,42.40608443
777.1874257,42.25807837,481.360516,61.1881412,2865666.106,42.25807837
778.4300337,42.17823014,484.5653064,61.21887067,2817378.901,42.17823014
778.7304465,42.16181071,485.3361346,61.21978849,2820601.02,42.16181071
779.6810692,42.11196487,487.7729974,61.22587342,2793794.399,42.11196487
781.7758269,42.02124372,493.1007885,61.18254802,2749293.936,42.02124372
784.6884596,41.91294894,500.4773511,61.10829087,2744109.368,41.91294894
787.9752564,41.79979071,508.7820924,61.12025554,2713641.255,41.79979071
791.1357988,41.67799933,516.7489797,61.17370706,2728868.378,41.67799933
793.6889946,41.58115638,523.1565962,61.17405751,2661910.622,41.58115638
795.2468174,41.54277759,527.0133437,61.10912999,2608400.312,41.54277759
795.6266333,41.53477419,527.9512956,61.08997033,2607993.417,41.53477419
796.8609729,41.51610438,530.9931136,61.02633872,2592771.833,41.51610438
799.5257011,41.48684506,537.5409823,60.8723013,2574598.692,41.48684506
803.0834018,41.41738147,546.2610439,60.64880775,2570911.664,41.41738147
806.8290638,41.25372982,555.4371806,60.43149361,2589340.987,41.25372982
810.0208564,41.07561789,563.2345515,60.2304289,2574952.249,41.07561789
